subject_id,gender,height,weight,thigh_length,calf_length,torso_length,leg_length,neck_length,chest,waist,hip,thigh,calf,arm,shoulder,thigh_calf_ratio,torso_leg_ratio
M133,M,171.4,76.8,34.400000000000006,42.0,43.3,76.4,9.600000000000009,88.9,83.5,95.5,58.6,39.8,31.2,42.1,0.8190476190476191,0.5667539267015707
M138,M,164.9,58.8,33.300000000000004,39.4,41.900000000000006,72.7,5.400000000000006,85.6,70.7,85.5,52.4,32.4,29.8,41.4,0.8451776649746194,0.5763411279229712
M143,M,165.5,55.7,27.700000000000003,44.7,44.8,72.4,6.400000000000006,84.2,72.6,83.8,45.9,35.4,26.3,35.6,0.6196868008948546,0.6187845303867402
M149,M,168.6,57.6,31.699999999999996,42.9,43.30000000000001,74.6,6.599999999999994,79.5,70.3,86.7,47.3,34.7,26.3,37.7,0.7389277389277389,0.5804289544235927
M151,M,169.4,71.7,32.3,40.7,44.099999999999994,73.0,10.900000000000006,93.7,83.2,93.1,53.9,37.5,32.2,39.7,0.7936117936117935,0.6041095890410958
M156,M,169.2,66.0,33.4,40.6,44.599999999999994,74.0,8.100000000000009,87.4,78.5,89.5,52.5,35.1,31.2,38.4,0.8226600985221674,0.6027027027027027
M158,M,175.1,77.8,27.60000000000001,45.5,48.5,73.10000000000001,6.999999999999986,57.3,86.2,95.3,56.0,39.8,32.0,40.9,0.6065934065934068,0.6634746922024624
M160,M,161.7,60.7,31.099999999999994,37.900000000000006,40.7,69.0,9.999999999999986,87.0,77.1,89.7,52.6,36.1,28.2,39.5,0.8205804749340366,0.5898550724637681
M163,M,166.6,54.5,29.5,42.7,42.2,72.2,10.199999999999974,8.2,73.2,84.5,46.7,32.2,25.0,38.5,0.6908665105386417,0.5844875346260388
M164,M,161.2,72.9,31.199999999999996,36.1,40.60000000000001,67.3,8.699999999999989,95.0,91.5,92.5,56.2,37.5,32.3,41.6,0.8642659279778392,0.6032689450222884
M168,M,170.2,67.5,32.6,40.6,43.5,73.2,11.800000000000011,93.0,74.4,92.5,53.0,34.8,29.9,40.3,0.8029556650246306,0.5942622950819672
M170,M,172.10000000000002,70.2,29.200000000000003,43.3,43.8,72.5,9.700000000000017,93.6,78.2,90.8,53.0,36.3,32.0,40.7,0.6743648960739032,0.6041379310344828
M173,M,169.0,62.6,33.300000000000004,42.300000000000004,44.79999999999998,75.60000000000001,6.499999999999986,86.1,78.5,89.3,51.5,33.3,29.0,37.3,0.7872340425531915,0.5925925925925923
M176,M,168.7,76.5,29.800000000000004,44.4,43.900000000000006,74.2,8.900000000000006,97.8,76.9,96.5,61.5,37.9,35.7,39.9,0.6711711711711713,0.5916442048517521
M178,M,164.7,59.5,31.299999999999997,41.5,44.60000000000001,72.8,6.299999999999983,84.0,68.3,87.0,52.1,34.1,29.5,39.7,0.7542168674698795,0.6126373626373628
M181,M,162.9,60.5,28.500000000000007,42.4,44.8,70.9,7.3999999999999915,85.0,74.2,86.9,52.0,36.2,28.6,36.9,0.6721698113207549,0.6318758815232721
M184,M,163.39999999999998,68.8,31.39999999999999,39.400000000000006,41.2,70.8,9.199999999999989,103.7,76.0,89.8,57.0,37.4,33.4,42.0,0.7969543147208118,0.5819209039548023
M187,M,161.0,57.6,30.700000000000003,37.2,41.599999999999994,67.9,6.099999999999994,82.8,70.1,88.4,53.9,34.7,28.0,39.5,0.8252688172043011,0.6126656848306331
M189,M,173.5,66.4,30.700000000000003,42.2,43.5,72.9,10.0,89.2,71.3,93.5,54.0,36.0,30.1,42.5,0.7274881516587678,0.5967078189300411
M195,M,155.3,60.2,32.7,31.099999999999998,42.599999999999994,63.8,5.900000000000006,88.7,77.8,87.5,53.4,36.3,28.8,37.7,1.0514469453376207,0.6677115987460814
M211,M,176.1,68.1,36.7,44.0,-55.50000000000001,80.7,111.39999999999998,88.1,77.4,92.0,53.6,35.4,27.1,41.0,0.8340909090909091,-0.687732342007435
M215,M,172.1,69.0,33.400000000000006,42.5,43.39999999999999,75.9,11.100000000000009,93.9,78.3,94.6,56.0,34.8,30.8,39.9,0.7858823529411766,0.5718050065876151
M216,M,173.0,85.1,30.9,41.6,46.10000000000001,72.5,9.799999999999983,96.7,91.0,101.2,61.2,41.4,33.3,40.0,0.7427884615384615,0.6358620689655173
M221,M,165.9,58.6,32.7,37.0,42.5,69.7,8.599999999999994,82.2,71.0,87.3,48.6,33.0,28.0,40.3,0.8837837837837839,0.6097560975609756
M225,M,164.8,71.2,28.799999999999997,39.5,40.89999999999999,68.3,11.200000000000017,95.4,79.7,96.0,60.1,36.1,32.4,38.5,0.7291139240506328,0.5988286969253294
M226,M,160.5,77.1,27.799999999999997,39.2,39.89999999999999,67.0,9.300000000000011,102.7,87.2,96.5,57.3,38.1,35.1,41.7,0.7091836734693876,0.5955223880597014
M231,M,165.8,62.1,28.700000000000003,41.3,41.2,70.0,9.400000000000006,81.5,76.4,90.3,54.1,36.0,28.9,38.6,0.6949152542372883,0.5885714285714286
M242,M,164.6,74.0,29.699999999999996,41.9,41.900000000000006,71.6,7.699999999999989,93.6,87.6,94.6,56.3,33.3,33.6,42.8,0.7088305489260143,0.5851955307262571
M265,M,164.7,60.1,29.299999999999997,40.5,45.099999999999994,69.8,8.500000000000014,85.5,72.8,84.3,51.2,35.6,30.8,36.4,0.7234567901234568,0.646131805157593
M270,M,171.6,68.4,34.00000000000001,42.9,44.5,76.9,8.299999999999983,92.7,73.3,92.6,52.8,36.2,30.3,38.3,0.7925407925407927,0.5786736020806241
M272,M,175.3,73.1,33.400000000000006,43.599999999999994,46.80000000000001,77.0,10.500000000000014,89.6,81.9,99.9,53.4,37.7,31.1,41.1,0.7660550458715598,0.607792207792208
M279,M,163.7,63.7,31.400000000000006,39.3,43.5,70.7,10.700000000000003,85.3,74.6,92.4,57.0,35.4,29.3,36.9,0.7989821882951657,0.6152758132956152
M284,M,160.10000000000002,62.6,27.299999999999997,40.099999999999994,41.60000000000001,67.39999999999999,7.900000000000006,89.9,76.0,88.0,53.5,35.6,31.1,34.2,0.6807980049875312,0.6172106824925818
M288,M,164.70000000000002,74.6,29.400000000000006,40.3,44.5,69.7,7.000000000000028,100.3,88.0,96.4,56.7,35.6,32.6,38.7,0.7295285359801491,0.6384505021520803
M290,M,171.2,61.4,32.899999999999984,44.300000000000004,43.89999999999999,77.19999999999999,8.100000000000023,83.3,71.9,87.4,49.7,35.2,28.1,37.8,0.7426636568848755,0.5686528497409327
M292,M,173.8,64.8,35.3,41.7,44.900000000000006,77.0,9.400000000000006,84.8,75.2,85.5,50.6,35.0,29.1,41.9,0.8465227817745802,0.5831168831168831
M295,M,174.60000000000002,74.8,33.89999999999999,42.5,43.89999999999999,76.39999999999999,7.300000000000026,93.5,79.3,94.8,56.2,38.5,30.1,40.4,0.7976470588235293,0.5746073298429318
M300,M,167.20000000000002,56.9,27.4,40.199999999999996,46.3,67.6,8.800000000000011,83.5,69.9,85.5,47.1,33.6,26.9,35.1,0.681592039800995,0.6849112426035503
