subject_id,gender,height_mm,weight_kg,shoulder_mm,chest_mm,waist_mm,hip_mm,jaw_height_mm,front_neck_height_mm,crotch_height_mm,knee_height_mm,ankle_height_mm,torso_shoulder_height_mm,pelvis_point_height_mm,leg_crotch_height_mm,leg_ankle_height_mm
8_SM_001495,F,1636,51.7,340.8,839.0,693,856,1408.9,1334.9,753.7,446.2,68.6,1332.0,903,754,64
8_SM_001496,F,1652,72.5,370.5,974.0,864,1051,1430.4,1348.9,753.2,446.1,69.3,1339.0,895,760,63
8_SM_001497,F,1531,55.1,341.0,881.0,754,933,1313.4,1240.4,679.1,404.0,65.3,1251.0,802,678,59
8_SM_001498,F,1654,52.8,365.0,822.0,709,924,1431.4,1352.3,759.6,431.2,52.2,1343.0,853,737,55
8_SM_001499,F,1589,46.4,346.4,775.0,707,870,1370.8,1297.9,773.7,440.9,64.9,1283.0,891,751,61
8_SM_001500,F,1627,67.2,357.6,915.0,830,1000,1405.9,1347.0,715.0,426.9,62.9,1332.0,850,722,60
8_SM_001501,F,1552,58.3,332.5,887.0,754,1004,1333.2,1263.1,676.4,409.4,62.9,1271.0,823,671,52
8_SM_001502,F,1606,62.2,346.1,900.0,790,960,1378.0,1315.9,710.6,428.1,66.0,1298.0,829,702,60
8_SM_001503,F,1693,96.0,387.7,1114.0,989,1136,1479.7,1419.2,798.1,467.0,74.5,1401.0,957,791,69
8_SM_001504,F,1537,48.0,367.2,830.0,691,845,1357.8,1298.3,730.3,432.6,65.4,1268.0,853,723,60
8_SM_001505,F,1579,57.8,342.4,893.0,778,1004,1358.0,1287.7,726.5,421.9,66.0,1278.0,854,719,61
8_SM_001506,F,1706,59.3,377.4,827.0,711,924,1472.4,1395.2,788.4,475.9,68.5,1399.0,925,774,63
8_SM_001507,F,1736,93.3,406.2,1080.0,929,1136,1499.6,1431.7,790.4,458.8,82.91,1410.0,945,783,75
8_SM_001508,F,1578,53.5,361.1,830.0,663,911,1352.3,1289.0,721.4,423.0,66.1,1275.0,853,717,56
8_SM_001509,F,1679,52.6,354.0,803.0,661,940,1455.5,1360.3,768.5,449.4,71.4,1357.0,911,756,65
8_SM_001510,F,1635,57.9,369.7,861.0,733,929,1406.3,1337.1,737.5,433.0,69.9,1317.0,877,727,63
8_SM_001511,F,1555,46.1,350.8,814.0,663,865,1326.8,1261.4,726.2,420.2,65.3,1248.0,850,721,59
8_SM_001512,F,1574,54.6,327.5,856.0,781,924,1332.8,1275.4,734.2,430.8,66.3,1269.0,860,728,57
8_SM_001513,F,1623,50.4,339.6,815.0,715,884,1398.0,1324.2,766.2,433.7,60.6,1320.0,899,753,55
8_SM_001514,F,1689,63.4,381.1,878.0,739,979,1439.3,1365.7,762.4,447.9,73.1,1372.0,883,754,67
8_SM_001515,F,1628,64.6,371.5,894.0,742,974,1399.5,1352.3,758.3,438.6,72.1,1337.0,887,752,66
8_SM_001516,F,1631,73.5,385.7,962.0,885,1054,1400.1,1329.8,734.7,445.4,68.2,1313.0,882,730,62
8_SM_001517,F,1444,36.6,331.9,764.0,616,787,1233.6,1163.3,613.8,361.1,58.0,1154.0,744,604,55
8_SM_001518,F,1546,49.7,347.3,824.0,715,902,1328.8,1256.1,714.3,418.2,62.7,1233.0,836,701,55
8_SM_001519,F,1601,52.0,355.4,786.0,688,947,1371.3,1294.8,706.6,412.4,63.9,1277.0,840,700,60
8_SM_001520,F,1670,65.3,356.1,884.0,806,1003,1429.4,1376.4,754.5,447.2,71.2,1359.0,895,755,65
8_SM_001521,F,1594,51.9,348.0,834.0,647,883,1372.6,1301.5,721.5,425.2,67.7,1310.0,836,711,57
8_SM_001522,F,1587,68.4,355.2,979.0,848,1020,1373.0,1296.5,720.3,410.0,63.4,1280.0,849,713,62
8_SM_001523,F,1649,61.2,345.5,922.0,751,939,1403.8,1339.1,752.0,440.5,69.1,1345.0,883,752,62
8_SM_001524,F,1597,59.3,342.3,893.0,785,952,1365.4,1296.9,697.1,412.0,66.9,1308.0,825,697,60
8_SM_001525,F,1597,55.3,341.4,818.0,692,993,1379.2,1307.7,721.4,427.2,70.1,1298.0,838,708,62
8_SM_001526,F,1533,45.6,345.3,766.0,700,880,1318.8,1251.5,719.7,428.1,66.5,1237.0,844,708,61
8_SM_001527,F,1644,52.8,350.6,810.0,674,898,1418.7,1345.6,739.7,432.8,60.9,1330.0,877,733,52
8_SM_001528,F,1703,61.1,376.8,895.0,780,949,1476.8,1391.4,790.4,484.3,76.0,1385.0,943,786,70
