source_row_id,subject_id,gender,height,weight,shoulder,chest,waist,hip,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio
440,8_SM_000441,F,163.3,70.6,35.489999999999995,103.9,91.7,94.4,30.229999999999997,38.230000000000004,45.1,68.5,6.8,0.7907402563431858,0.6583941605839416
2903,8_SM_002904,M,178.1,91.3,39.32,103.2,91.8,104.9,30.810000000000002,39.11,50.1,69.4,8.990000000000009,0.7877780618767579,0.7219020172910663
1307,8_SM_001308,F,164.4,54.9,35.18,83.9,74.1,94.8,31.259999999999998,36.65,47.3,67.2,8.990000000000009,0.8529331514324693,0.7038690476190476
922,8_SM_000923,F,168.0,58.6,39.47,85.6,73.3,91.8,33.410000000000004,38.71,42.1,70.8,6.320000000000005,0.8630844742960476,0.594632768361582
4227,8_SM_004228,M,169.5,68.9,41.19,90.2,85.8,94.9,31.859999999999996,38.73,44.4,69.8,8.029999999999996,0.8226181254841208,0.6361031518624641
2932,8_SM_002933,M,181.4,62.3,40.78,88.7,66.6,88.1,34.86999999999999,44.95,45.0,78.8,10.079999999999995,0.7757508342602889,0.5710659898477157
570,8_SM_000571,F,162.3,69.1,31.810000000000002,99.3,82.4,99.5,34.099999999999994,36.1,44.4,68.5,5.320000000000005,0.9445983379501383,0.6481751824817518
1919,8_SM_001920,F,155.7,46.3,35.17,77.8,68.0,91.9,30.229999999999997,33.53,43.0,62.0,7.290000000000009,0.9015806740232626,0.6935483870967742
4058,8_SM_004059,M,169.2,60.2,40.760000000000005,88.5,80.8,90.4,31.119999999999997,38.129999999999995,46.0,68.0,7.479999999999995,0.8161552583267768,0.6764705882352942
2938,8_SM_002939,M,173.6,59.3,38.33,89.5,73.7,87.0,32.67,41.98,45.6,73.8,6.8799999999999955,0.7782277274892807,0.6178861788617886
26,8_SM_000027,F,164.4,55.0,35.230000000000004,90.0,72.5,89.2,30.28000000000001,37.92999999999999,45.8,67.5,5.35,0.7983126812549437,0.6785185185185185
3511,8_SM_003512,M,173.6,66.5,37.96,86.7,78.6,94.0,33.56,42.53,43.5,76.1,7.829999999999996,0.7890900540794733,0.5716162943495401
903,8_SM_000904,F,168.4,49.8,37.410000000000004,77.8,72.7,91.4,36.48,38.46,43.3,73.3,7.670000000000004,0.9485179407176286,0.5907230559345157
2040,8_SM_002041,F,160.2,57.9,37.87,86.7,81.0,97.0,29.590000000000003,35.81,41.7,65.0,6.7,0.8263055012566323,0.6415384615384616
1104,8_SM_001105,F,155.4,56.5,34.94,88.7,77.0,94.8,28.909999999999997,33.97,44.0,62.6,6.8700000000000045,0.8510450397409478,0.7028753993610224
216,8_SM_000217,F,168.0,58.8,34.18,85.9,74.7,94.9,33.32000000000001,38.059999999999995,46.6,69.8,5.540000000000009,0.8754598003152919,0.667621776504298
913,8_SM_000914,F,157.4,55.0,36.19,84.9,76.8,95.0,28.990000000000002,35.03,41.4,63.8,7.309999999999991,0.8275763631173281,0.6489028213166145
